snippet,language
"          },
          ""directive"":null
        },
        {
          ""type"":""ExpressionStatement"",
",7
"      ""欲去恨无因，奈阻隔、川途百里。"", 
      ""香蒲角黍，对暑悄无言，梅雨细，麦风轻，怅望宽垂泪。""
    ], 
    ""rhythmic"": ""蓦山溪""
  }, 
",7
"        ""google"": 3460
    },
    {
        ""baidu"": 5,
        ""author"": ""李綱"",
",7
"      return reader.getDataClass();
    }

    @NonNull
    @Override
",8
"          .addScope(new Scope(Scopes.FITNESS_ACTIVITY_READ))
          .addConnectionCallbacks(
              new GoogleApiClient.ConnectionCallbacks() {
                @Override
                public void onConnected(Bundle bundle) {
",8
" * See the License for the specific language governing permissions and
 * limitations under the License.
 */
package com.dianping.cat.build;

",8
"    if (position >= daysInWeek) {
      return null;
    }
    return positionToDayOfWeek(position);
  }
",8
"// Copyright 2000-2020 JetBrains s.r.o. Use of this source code is governed by the Apache 2.0 license that can be found in the LICENSE file.
package com.intellij.codeInspection.streamMigration;


import com.intellij.psi.*;
",8
"      // Clone to avoid manipulating the comparator's semver object.
      var compver = new SemVer(comparator.semver.version)
      switch (comparator.operator) {
        case '>':
          if (compver.prerelease.length === 0) {
",9
"    },
    '@npmcli/run-script': opts => {},
    '../../lib/utils/reify-finish.js': async () => {},
    '@npmcli/arborist': function () {
      this.loadVirtual = () => Promise.resolve(true)
",9
"					const modulo = 1 / Math.pow(1 / modulesCount, 1 / 31);
					const modulos = Array.from(
						{ length: 31 },
						(x, i) => Math.pow(modulo, i) | 0
					);
",9
"    if (isFunction(resolvedAttrDef)) {
      resolvedAttrDef = resolvedAttrDef(context);
    }

    /* eslint-disable guard-for-in */
",9
"		onSortChange: PropTypes.func,
		sortOrder: PropTypes.oneOf( [ 'date-followed', 'alpha' ] ),
	};

	static defaultProps = {
",9
"    ""\n"",
    ""        if step % display_step == 0 or step == 1:\n"",
    ""            if step > 1:\n"",
    ""                average_loss /= display_step\n"",
    ""            print(\""Step \"" + str(step) + \"", Average Loss= \"" + \\\n"",
",10
"   ]
  },
  {
   ""cell_type"": ""markdown"",
   ""metadata"": {
",10
"   ],
   ""source"": [
    ""regex = \""[c-o]+\""\n"",
    ""print(re.search(regex, \""hello\""))\n"",
    ""print(re.search(regex, \""rice\""))""
",10
