snippet,language
  display: -ms-inline-grid;
  vertical-align: top;
}
.win-listview .win-gridlayout .win-container {
  margin: 5px;
}
.win-listview .win-vertical .win-gridlayout.win-headerpositionleft .win-groupheadercontainer,
.win-listview .win-vertical .win-gridlayout.win-headerpositiontop .win-groupheadercontainer {
  -ms-grid-column: 1;
}
.win-listview.win-groups .win-gridlayout .win-itemscontainer,
.win-listview.win-groups .win-gridlayout .win-groupheadercontainer {
  display: none;
}
.win-listview.win-groups .win-gridlayout .win-groupheadercontainer.win-laidout {
  display: block;
}
.win-listview .win-horizontal .win-gridlayout.win-headerpositiontop.win-surface {
  -ms-grid-columns: auto;
  -ms-grid-rows: auto 1fr;
}
.win-listview .win-horizontal .win-gridlayout.win-headerpositiontop .win-groupheadercontainer {
  -ms-grid-row: 1;
}
.win-listview .win-horizontal .win-gridlayout.win-headerpositiontop .win-itemscontainer {
  -ms-grid-row: 2;
}
.win-listview .win-horizontal .win-gridlayout.win-headerpositionleft.win-surface {
  -ms-grid-columns: auto;
  -ms-grid-rows: auto;
}
.win-listview .win-horizontal .win-gridlayout.win-headerpositionleft .win-groupheadercontainer {
  -ms-grid-row: 1;
}
.win-listview .win-horizontal .win-gridlayout.win-headerpositionleft .win-itemscontainer {
  -ms-grid-row: 1;
}
.win-listview .win-vertical .win-gridlayout.win-headerpositiontop.win-surface {
  -ms-grid-columns: auto;
  -ms-grid-rows: auto;
}
.win-listview .win-vertical .win-gridlayout.win-headerpositiontop .win-itemscontainer {
  -ms-grid-column: 1;
}
.win-listview .win-vertical .win-gridlayout.win-headerpositionleft.win-surface {
  -ms-grid-columns: auto 1fr;
  -ms-grid-rows: auto;
}
.win-listview .win-vertical .win-gridlayout.win-headerpositionleft .win-itemscontainer {
  -ms-grid-column: 2;
}
.win-listview .win-gridlayout.win-structuralnodes .win-uniformgridlayout.win-itemscontainer.win-laidout {
  display: -ms-flexbox;
  display: -webkit-flex;
  display: flex;
  -ms-flex-direction: row;
  -webkit-flex-direction: row;
  flex-direction: row;
}
.win-listview .win-horizontal .win-listlayout .win-itemscontainer,
.win-listview.win-groups .win-horizontal .win-listlayout .win-itemscontainer.win-laidout,
.win-listview .win-horizontal .win-listlayout .win-itemsblock,
.win-listview .win-horizontal .win-gridlayout .win-uniformgridlayout.win-itemscontainer.win-laidout,
.win-listview .win-horizontal .win-gridlayout .win-uniformgridlayout .win-itemsblock {
  display: -ms-flexbox;
  display: -webkit-flex;
  display: flex;
  -ms-flex-direction: column;
  -webkit-flex-direction: column;
  flex-direction: column;
  -ms-flex-wrap: wrap;
  -webkit-flex-wrap: wrap;
  flex-wrap: wrap;
  -ms-flex-line-pack: start;
  -webkit-align-content: flex-start;
  align-content: flex-start;
}
.win-listview .win-horizontal .win-itemscontainer-padder {
  height: 100%;
}
.win-listview .win-horizontal .win-gridlayout .win-uniformgridlayout .win-itemsblock {
  height: 100%;
}
.win-listview .win-horizontal .win-gridlayout .win-cellspanninggridlayout.win-itemscontainer.win-laidout {
  display: -ms-grid;
}
.win-listview .win-vertical .win-gridlayout.win-structuralnodes .win-uniformgridlayout.win-itemscontainer.win-laidout {
  display: -ms-flexbox;
  display: -webkit-flex;
  display: flex;
  -ms-flex-direction: column;
  -webkit-flex-direction: column;
  flex-direction: column;
}
.win-listview .win-vertical .win-gridlayout .win-uniformgridlayout.win-itemscontainer.win-laidout,
.win-listview .win-vertical .win-gridlayout .win-uniformgridlayout .win-itemsblock {
  display: -ms-flexbox;
  display: -webkit-flex;
  display: flex;
  -ms-flex-direction: row;
  -webkit-flex-direction: row;
  flex-direction: row;
  -ms-flex-wrap: wrap;
  -webkit-flex-wrap: wrap;
  flex-wrap: wrap;
  -ms-flex-line-pack: start;
  -webkit-align-content: flex-start;
  align-content: flex-start;
}
.win-listview .win-vertical .win-gridlayout .win-uniformgridlayout .win-itemsblock {
  width: 100%;
}
.win-listview .win-cellspanninggridlayout .win-container.win-laidout {
  display: block;
}
.win-listview .win-cellspanninggridlayout .win-container {
  display: none;
}
.win-listview .win-itembox {
  position: relative;
}
.win-listview.win-dragover .win-itembox {
  transform: scale(0.86);
  -webkit-transform: scale(0.86);
}
.win-listview .win-itembox.win-dragsource,
.win-itemcontainer .win-itembox.win-dragsource {
  opacity: 0.5;
  transition: opacity cubic-bezier(0.1, 0.9, 0.2, 1) 167ms, transform cubic-bezier(0.1, 0.9, 0.2, 1) 220ms;
  -webkit-transition: opacity cubic-bezier(0.1, 0.9, 0.2, 1) 167ms, transform cubic-bezier(0.1, 0.9, 0.2, 1) 220ms;
}
.win-listview.win-dragover .win-itembox.win-dragsource {
  opacity: 0;
  transition: none;
  -webkit-transition: none;
}
html.win-hoverable .win-listview.win-dragover .win-container:hover {
  outline: none;
}
.win-listview .win-container.win-swipe,
.win-listview .win-container.win-swipe .win-itembox,
.win-itemcontainer.win-container.win-swipe,
.win-itemcontainer.win-container.win-swipe .win-itembox {
  position: relative;
  z-index: 1;
}
.win-listview .win-itembox {
  transition: transform cubic-bezier(0.1, 0.9, 0.2, 1) 220ms;
  -webkit-transition: -webkit-transform cubic-bezier(0.1, 0.9, 0.2, 1) 220ms;
}
.win-listview.win-listview-supports-cross-slide .win-horizontal .win-itemscontainer,
.win-listview.win-listview-supports-cross-slide .win-horizontal .win-itemsblock:not(.win-clip) {
  margin-top: -200px;
  margin-bottom: -200px;
  padding-top: 200px;
  padding-bottom: 200px;
}
.win-listview.win-listview-supports-cross-slide .win-vertical .win-itemscontainer,
.win-listview.win-listview-supports-cross-slide .win-vertical .win-itemsblock:not(.win-clip) {
  margin-left: -200px;
  margin-right: -200px;
  padding-left: 200px;
  padding-right: 200px;
}
.win-listview.win-listview-supports-cross-slide .win-horizontal .win-listlayout .win-itemscontainer {
  margin-bottom: -176px;
}
.win-listview.win-groups > .win-vertical .win-surface.win-listlayout.win-headerpositionleft {
  margin-left: 70px;
}
.win-listview.win-groups.win-rtl > .win-vertical .win-surface.win-listlayout.win-headerpositionleft {
  margin-left: 0px;
  margin-right: 70px;
}
.win-listview > .win-horizontal .win-surface.win-listlayout {
  margin-left: 70px;
}
.win-listview.win-rtl > .win-horizontal .win-surface.win-listlayout {
  margin-left: 0px;
  margin-right: 70px;
}
.win-listview .win-vertical .win-gridlayout.win-surface {
  margin-left: 20px;
}
.win-listview.win-rtl .win-vertical .win-gridlayout.win-surface {
  margin-left: 0px;
  margin-right: 20px;
}
.win-itemcontainer .win-itembox,
.win-itemcontainer.win-container {
  position: relative;
}
.win-itemcontainer {
  touch-action: pan-x pan-y pinch-zoom;
}
.win-itemcontainer.win-swipeable.win-horizontal .win-itembox {
  touch-action: pan-y pinch-zoom cross-slide-x;
}
.win-itemcontainer.win-swipeable.win-vertical .win-itembox {
  touch-action: pan-x pinch-zoom cross-slide-y;
}
.win-selectioncheckmark {
  color: #ffffff;
}
.win-selectionhint {
  color: #ffffff;
}
html.win-hoverable .win-listview.win-selectionstylefilled .win-container.win-selected:hover .win-itembox,
html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container.win-selected:hover .win-itembox {
  background-color: #5f37be;
}
.win-listview.win-selectionstylefilled .win-selected,
.win-itemcontainer.win-selectionstylefilled.win-selected {
  color: #ffffff;
}
.win-listview:not(.win-selectionstylefilled) .win-container.win-selected .win-selectionborder,
.win-itemcontainer:not(.win-selectionstylefilled).win-container.win-selected .win-selectionborder {
  border-color: #4617b4;
}
.win-listview.win-selectionstylefilled .win-container.win-selected .win-selectionborder,
.win-itemcontainer.win-selectionstylefilled.win-container.win-selected .win-selectionborder {
  border-color: transparent;
}
html.win-hoverable .win-listview:not(.win-selectionstylefilled) .win-container.win-selected:hover .win-selectionborder,
html.win-hoverable .win-itemcontainer:not(.win-selectionstylefilled).win-container.win-selected:hover .win-selectionborder {
  border-color: #5f37be;
}
.win-listview.win-selectionstylefilled .win-selected .win-selectionbackground,
.win-itemcontainer.win-selectionstylefilled.win-selected .win-selectionbackground {
  background-color: #4617b4;
}
html.win-hoverable .win-listview.win-selectionstylefilled .win-selected:hover .win-selectionbackground,
html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-selected:hover .win-selectionbackground {
  background-color: #5f37be;
}
.win-listview:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground,
.win-itemcontainer:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground {
  border-top-color: #4617b4;
  border-right-color: #4617b4;
  border-left-color: transparent;
  border-bottom-color: transparent;
}
.win-listview.win-selectionstylefilled .win-selectioncheckmarkbackground,
.win-itemcontainer.win-selectionstylefilled .win-selectioncheckmarkbackground {
  border-color: transparent;
}
html.win-hoverable .win-listview:not(.win-selectionstylefilled) .win-container.win-selected:hover .win-selectioncheckmarkbackground,
html.win-hoverable .win-itemcontainer:not(.win-selectionstylefilled).win-container.win-selected:hover .win-selectioncheckmarkbackground {
  border-top-color: #5f37be;
  border-right-color: #5f37be;
  border-left-color: transparent;
  border-bottom-color: transparent;
}
.win-listview.win-rtl:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground,
.win-itemcontainer.win-rtl:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground {
  border-left-color: #4617b4;
  border-right-color: transparent;
}
html.win-hoverable .win-listview.win-rtl:not(.win-selectionstylefilled) .win-container.win-selected:hover .win-selectioncheckmarkbackground,
html.win-hoverable .win-itemcontainer.win-rtl:not(.win-selectionstylefilled).win-container.win-selected:hover .win-selectioncheckmarkbackground {
  border-left-color: #5f37be;
  border-right-color: transparent;
}
.win-listview.win-selectionstylefilled .win-selected a,
.win-listview.win-selectionstylefilled .win-selected progress,
.win-listview.win-selectionstylefilled .win-selected .win-rating .win-star.win-full,
.win-itemcontainer.win-selectionstylefilled.win-selected a,
.win-itemcontainer.win-selectionstylefilled.win-selected progress,
.win-itemcontainer.win-selectionstylefilled.win-selected .win-rating .win-star.win-full {
  color: #ffffff;
}
.win-listview.win-selectionstylefilled .win-selected.win-selected a:hover:active,
.win-itemcontainer.win-selectionstylefilled.win-selected.win-selected a:hover:active {
  color: rgba(255, 255, 255, 0.6);
}
html.win-hoverable .win-listview.win-selectionstylefilled .win-selected a:hover,
html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-selected a:hover {
  color: rgba(255, 255, 255, 0.8);
}
.win-listview.win-selectionstylefilled .win-selected button,
.win-listview.win-selectionstylefilled .win-selected input[type=button],
.win-listview.win-selectionstylefilled .win-selected input[type=reset],
.win-listview.win-selectionstylefilled .win-selected input[type=text],
.win-listview.win-selectionstylefilled .win-selected input[type=password],
.win-listview.win-selectionstylefilled .win-selected input[type=email],
.win-listview.win-selectionstylefilled .win-selected input[type=number],
.win-listview.win-selectionstylefilled .win-selected input[type=tel],
.win-listview.win-selectionstylefilled .win-selected input[type=url],
.win-listview.win-selectionstylefilled .win-selected input[type=search],
.win-listview.win-selectionstylefilled .win-selected input::-ms-check,
.win-listview.win-selectionstylefilled .win-selected textarea,
.win-listview.win-selectionstylefilled .win-selected .win-textarea,
.win-listview.win-selectionstylefilled .win-selected select,
.win-itemcontainer.win-selectionstylefilled.win-selected button,
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=button],
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=reset],
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=text],
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=password],
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=email],
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=number],
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=tel],
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=url],
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=search],
.win-itemcontainer.win-selectionstylefilled.win-selected input::-ms-check,
.win-itemcontainer.win-selectionstylefilled.win-selected textarea,
.win-itemcontainer.win-selectionstylefilled.win-selected .win-textarea,
.win-itemcontainer.win-selectionstylefilled.win-selected select {
  background-clip: border-box;
  background-color: rgba(255, 255, 255, 0.8);
  border-color: transparent;
  color: #000000;
}
.win-listview.win-selectionstylefilled .win-selected button[type=submit],
.win-listview.win-selectionstylefilled .win-selected input[type=submit],
.win-itemcontainer.win-selectionstylefilled.win-selected button[type=submit],
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=submit] {
  border-color: #ffffff;
}
.win-listview.win-selectionstylefilled .win-selected input[type=range]::-ms-fill-lower,
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=range]::-ms-fill-lower {
  background-color: #ffffff;
}
.win-listview.win-selectionstylefilled .win-selected input[type=range]::-ms-thumb,
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=range]::-ms-thumb {
  background-color: #000000;
}
.win-listview.win-selectionstylefilled .win-selected input[type=range]::-ms-fill-upper,
.win-listview.win-selectionstylefilled .win-selected progress,
.win-itemcontainer.win-selectionstylefilled.win-selected input[type=range]::-ms-fill-upper,
.win-itemcontainer.win-selectionstylefilled.win-selected progress {
  background-color: rgba(255, 255, 255, 0.16);
}
.win-listview.win-selectionstylefilled .win-selected progress:indeterminate,
.win-itemcontainer.win-selectionstylefilled.win-selected progress:indeterminate {
  background-color: transparent;
}
.win-listview.win-selectionstylefilled .win-selected .win-rating .win-star.win-empty,
.win-itemcontainer.win-selectionstylefilled.win-selected .win-rating .win-star.win-empty {
  color: rgba(255, 255, 255, 0.16);
}
.win-listview .win-viewport {
  outline: none;
}
@media (-ms-high-contrast) {
  .win-listview .win-groupheader {
    color: WindowText;
  }
  .win-selectioncheckmark {
    color: HighlightText;
  }
  .win-listview .win-selectionhint,
  .win-itemcontainer .win-selectionhint {
    color: WindowText;
  }
  .win-listview .win-focusedoutline,
  .win-listview .win-groupheader,
  .win-itemcontainer .win-focusedoutline {
    outline-color: WindowText;
  }
  .win-listview.win-selectionstylefilled .win-itembox,
  .win-itemcontainer.win-selectionstylefilled .win-itembox {
    background-color: Window;
    color: WindowText;
  }
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover .win-itembox,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover .win-itembox {
    background-color: Highlight;
    color: HighlightText;
  }
  .win-listview.win-selectionstylefilled .win-container.win-selected .win-itembox,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container.win-selected:hover .win-itembox,
  .win-itemcontainer.win-selectionstylefilled.win-container.win-selected .win-itembox,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container.win-selected:hover .win-itembox {
    background-color: Highlight;
    color: HighlightText;
  }
  .win-listview:not(.win-selectionstylefilled) .win-container.win-selected .win-selectionborder,
  .win-itemcontainer:not(.win-selectionstylefilled).win-container.win-selected .win-selectionborder {
    border-color: Highlight;
  }
  .win-listview.win-selectionstylefilled .win-container.win-selected .win-selectionborder,
  .win-itemcontainer.win-selectionstylefilled.win-container.win-selected .win-selectionborder {
    border-color: transparent;
  }
  html.win-hoverable .win-listview:not(.win-selectionstylefilled) .win-container.win-selected:hover .win-selectionborder,
  html.win-hoverable .win-itemcontainer:not(.win-selectionstylefilled).win-container.win-selected:hover .win-selectionborder {
    border-color: Highlight;
  }
  .win-listview.win-selectionstylefilled .win-selected .win-selectionbackground,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-selected:hover .win-selectionbackground,
  .win-itemcontainer.win-selectionstylefilled.win-selected .win-selectionbackground,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-selected:hover .win-selectionbackground {
    background-color: Highlight;
    color: HighlightText;
  }
  .win-listview.win-selectionstylefilled .win-selectioncheckmarkbackground,
  .win-itemcontainer.win-selectionstylefilled .win-selectioncheckmarkbackground {
    border-color: transparent;
  }
  .win-listview:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground,
  .win-itemcontainer:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground {
    border-top-color: Highlight;
    border-right-color: Highlight;
    border-left-color: transparent;
    border-bottom-color: transparent;
  }
  html.win-hoverable .win-listview:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground:hover,
  html.win-hoverable .win-itemcontainer:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground:hover {
    border-top-color: Highlight;
    border-right-color: Highlight;
  }
  .win-listview.win-rtl:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground,
  .win-itemcontainer.win-rtl:not(.win-selectionstylefilled) .win-selectioncheckmarkbackground {
    border-top-color: Highlight;
    border-left-color: Highlight;
    border-right-color: transparent;
    border-bottom-color: transparent;
  }
  .win-listview.win-selectionstylefilled .win-selected a,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover a,
  .win-listview.win-selectionstylefilled .win-selected progress,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover progress,
  .win-listview.win-selectionstylefilled .win-selected .win-rating .win-star:after,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover .win-rating .win-star:after,
  .win-itemcontainer.win-selectionstylefilled.win-selected a,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover a,
  .win-itemcontainer.win-selectionstylefilled.win-selected progress,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover progress,
  .win-itemcontainer.win-selectionstylefilled.win-selected .win-rating .win-star:after,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover .win-rating .win-star:after {
    color: HighlightText;
  }
  .win-listview.win-selectionstylefilled .win-selected input,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover input,
  .win-listview.win-selectionstylefilled .win-selected input::-ms-check,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover input::-ms-check,
  .win-listview.win-selectionstylefilled .win-selected input::-ms-value,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover input::-ms-value,
  .win-listview.win-selectionstylefilled .win-selected input::-ms-track,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover input::-ms-track,
  .win-listview.win-selectionstylefilled .win-selected button,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover button,
  .win-listview.win-selectionstylefilled .win-selected progress,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover progress,
  .win-listview.win-selectionstylefilled .win-selected progress::-ms-fill,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover progress::-ms-fill,
  .win-listview.win-selectionstylefilled .win-selected select,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover select,
  .win-listview.win-selectionstylefilled .win-selected textarea,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover textarea,
  .win-listview.win-selectionstylefilled.win-selected input,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover input,
  .win-itemcontainer.win-selectionstylefilled.win-selected input::-ms-check,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover input::-ms-check,
  .win-itemcontainer.win-selectionstylefilled.win-selected input::-ms-value,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover input::-ms-value,
  .win-itemcontainer.win-selectionstylefilled.win-selected input::-ms-track,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover input::-ms-track,
  .win-itemcontainer.win-selectionstylefilled.win-selected button,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover button,
  .win-itemcontainer.win-selectionstylefilled.win-selected progress,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover progress,
  .win-itemcontainer.win-selectionstylefilled.win-selected progress::-ms-fill,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover progress::-ms-fill,
  .win-itemcontainer.win-selectionstylefilled.win-selected select,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover select,
  .win-itemcontainer.win-selectionstylefilled.win-selected textarea,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover textarea {
    border-color: HighlightText;
  }
  .win-listview.win-selectionstylefilled .win-selected input[type=range]::-ms-fill-lower,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover input[type=range]::-ms-fill-lower,
  .win-listview.win-selectionstylefilled .win-selected progress::-ms-fill,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover progress::-ms-fill,
  .win-itemcontainer.win-selectionstylefilled.win-selected input[type=range]::-ms-fill-lower,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover input[type=range]::-ms-fill-lower,
  .win-itemcontainer.win-selectionstylefilled.win-selected progress::-ms-fill,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover progress::-ms-fill {
    background-color: HighlightText;
  }
  .win-listview.win-selectionstylefilled .win-selected input[type=range]::-ms-fill-upper,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover input[type=range]::-ms-fill-upper,
  .win-listview.win-selectionstylefilled .win-selected progress,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover progress,
  .win-itemcontainer.win-selectionstylefilled.win-selected input[type=range]::-ms-fill-upper,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover input[type=range]::-ms-fill-upper,
  .win-itemcontainer.win-selectionstylefilled.win-selected progress,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover progress {
    background-color: Highlight;
  }
  .win-listview.win-selectionstylefilled .win-selected .win-rating .win-star.win-full:before,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover .win-rating .win-star.win-full:before,
  .win-itemcontainer.win-selectionstylefilled.win-selected .win-rating .win-star.win-full:before,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover .win-rating .win-star.win-full:before {
    color: ButtonFace;
  }
  .win-listview.win-selectionstylefilled .win-selected .win-rating .win-star.win-empty:before,
  html.win-hoverable .win-listview.win-selectionstylefilled .win-container:hover .win-rating .win-star.win-empty:before,
  .win-itemcontainer.win-selectionstylefilled.win-selected .win-rating .win-star.win-empty:before,
  html.win-hoverable .win-itemcontainer.win-selectionstylefilled.win-container:hover .win-rating .win-star.win-empty:before {
    color: Highlight;
  }
  html.win-hoverable .win-listview .win-container:hover,
  html.win-hoverable .win-itemcontainer.win-container:hover {
    outline: Highlight solid 3px;
  }
}
.win-flipview {
  overflow: hidden;
  height: 400px;
}
.win-flipview .win-surface {
  -ms-scroll-chaining: none;
}
.win-flipview .win-navleft {
  left: 0%;
  top: 50%;
  margin-top: -19px;
}
.win-flipview .win-navright {
  left: 100%;
  top: 50%;
  margin-left: -69px;
  margin-top: -19px;
}
.win-flipview .win-navtop {
  left: 50%;
  top: 0%;
  margin-left: -35px;
}
.win-flipview .win-navbottom {
  left: 50%;
  top: 100%;
  margin-left: -35px;
  margin-top: -39px;
}
.win-flipview .win-navbutton {
  border: none;
  width: 69px;
  height: 39px;
  z-index: 1;
  position: absolute;
  font-family: ""Segoe UI Symbol"", ""Symbols"";
  font-size: 16pt;
  padding: 0;
  min-width: 0;
}
.win-flipview .win-item,
.win-flipview .win-item > .win-template {
  height: 100%;
  width: 100%;
  display: -ms-flexbox;
  display: -webkit-flex;
  display: flex;
  -ms-flex-align: center;
  -webkit-align-items: center;
  align-items: center;
  -ms-flex-pack: center;
  -webkit-justify-content: center;
  justify-content: center;
}
.win-flipview .win-navbutton {
  background-color: rgba(213, 213, 213, 0.35);
  color: rgba(0, 0, 0, 0.6);
}
.win-flipview .win-navbutton.win-navbutton:hover:active {
  background-color: rgba(41, 41, 41, 0.74);
  color: #ffffff;
}
html.win-hoverable .win-flipview .win-navbutton:hover {
  background-color: rgba(215, 215, 215, 0.94);
  color: #000000;
}
@media (-ms-high-contrast) {
  .win-flipview .win-navbottom {
    left: 50%;
    top: 100%;
    margin-left: -35px;
    margin-top: -35px;
  }
  .win-flipview .win-navbutton {
    background-color: ButtonFace;
    color: ButtonText;
    border: 2px solid ButtonText;
    width: 65px;
    height: 35px;
  }
  .win-flipview .win-navbutton.win-navbutton:hover:active,
  .win-flipview .win-navbutton.win-navbutton:active {
    background-color: ButtonText;
    color: ButtonFace;
  }
  .win-flipview .win-navright {
    margin-left: -65px;
  }
  html.win-hoverable .win-flipview .win-navbutton:hover {
    background-color: Highlight;
    color: HighlightText;
  }
}
.win-tooltip {
  display: block;
  position: fixed;
  top: 30px;
  left: 30px;
  max-width: 380px;
  box-sizing: border-box;
  margin: 0;
  padding: 6px 10px 7px 10px;
  border-style: solid;
  border-width: 2px;
  z-index: 9999;
  word-wrap: break-word;
  animation-fill-mode: both;
  font-size: 9pt;
  font-weight: 400;
  line-height: 1.6667;
}
.win-tooltip-phantom {
  display: block;
  position: fixed;
  top: 30px;
  left: 30px;
  background-color: transparent;
  border-width: 0;
  margin: 0;
  padding: 0;
}
.win-tooltip {
  background-color: #ffffff;
  border-color: #808080;
  color: rgba(0, 0, 0, 0.6);
}
@media (-ms-high-contrast) {
  .win-tooltip {
    background-color: Window;
    border-color: WindowText;
    color: WindowText;
  }
}
.win-semanticzoom {
  touch-action: pan-x pan-y double-tap-zoom;
}
.win-semanticzoom * {
  touch-action: inherit;
}
.win-semanticzoom-button {
  z-index: 100;
  position: absolute;
  min-width: 25px;
  min-height: 25px;
  width: 25px;
  height: 25px;
  padding: 0px;
  bottom: 21px;
  touch-action: none;
}
.win-semanticzoom-button::before {
  font-family: ""Segoe UI Symbol"", ""Symbols"";
  font-weight: normal;
  font-size: 11pt;
  content: ""\E0B8"";
  /* minus sign */
}
.win-semanticzoom-button-location {
  left: auto;
  right: 4px;
}
.win-semanticzoom-button-location:lang(ar),
.win-semanticzoom-button-location:lang(dv),
.win-semanticzoom-button-location:lang(fa),
.win-semanticzoom-button-location:lang(he),
.win-semanticzoom-button-location:lang(ku-Arab),
.win-semanticzoom-button-location:lang(pa-Arab),
.win-semanticzoom-button-location:lang(prs),
.win-semanticzoom-button-location:lang(ps),
.win-semanticzoom-button-location:lang(sd-Arab),
.win-semanticzoom-button-location:lang(syr),
.win-semanticzoom-button-location:lang(ug),
.win-semanticzoom-button-location:lang(ur),
.win-semanticzoom-button-location:lang(qps-plocm) {
  left: 4px;
  right: auto;
}
.win-semanticzoom {
  height: 400px;
}
.win-semanticzoom .win-listview > .win-viewport * {
  touch-action: auto;
}
@media (-ms-high-contrast) {
  .win-semanticzoom-button {
    background-color: ButtonFace;
    border-color: ButtonText;
    color: ButtonText;
  }
  .win-semanticzoom-button.win-semanticzoom-button:hover:active {
    background-clip: border-box;
    background-color: ButtonText;
    border-color: transparent;
    color: ButtonFace;
  }
  .win-semanticzoom-button:-ms-keyboard-active {
    background-clip: border-box;
    background-color: ButtonText;
    border-color: transparent;
    color: ButtonFace;
  }
  html.win-hoverable win-semanticzoom-button:hover {
    background-color: Highlight;
    border-color: ButtonText;
    color: HighlightText;
  }
}
.win-viewbox {
  width: 100%;
  height: 100%;
  position: relative;
}
/*
AppBar/Flyout z-index values:
    1000 - AppBar/settings click-eating div
    1002 - AppBar
    1004 - Settings Flyout
    1006 - Flyout click-eating div
    1008 - Flyout
*/
.win-appbarclickeater {
  z-index: 1000;
  background-color: transparent;
  display: none;
  width: 110%;
  height: 110%;
  left: -5%;
  top: -5%;
  position: fixed;
  touch-action: none;
  outline: 1px solid Purple;
  /*Necessary to block passthrough over webviews*/
  -ms-high-contrast-adjust: none;
}
.win-flyoutmenuclickeater {
  z-index: 1006;
  background-color: transparent;
  display: none;
  width: 110%;
  height: 110%;
  left: -5%;
  top: -5%;
  position: fixed;
  touch-action: none;
  outline: 1px solid Lime;
  /*Necessary to block passthrough over webviews*/
  -ms-high-contrast-adjust: none;
}
/*
Command buttons.
*/
button.win-command {
  background: none;
  background-clip: border-box;
  height: auto;
  /* height is 80px (label) or 60px (no label) */
  padding: 8px 0;
  /* bottom dependent on label/img, 2px margin */
  margin: 0;
  border: 2px solid;
